authormeta_avatar,authormeta_name,text,diggcount,sharecount,playcount,commentcount,videometa_duration,musicmeta_musicname,musicmeta_musicauthor,musicmeta_musicoriginal,createtimeiso,webvideourl
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/e6897a8b49e2cce6c5b1dc4c25c6d7ee~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=5e83252b&x-expires=1761944400&x-signature=Olxgj0u8fvr3%2BsUdq9kHCdnhG68%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,blossom.zarida,"Why mimi :(
#fyp #fypシ #mimi #tiktok #tiktokcommunity",3275,149,566100,373,4,original sound,Zarida,True,2024-10-13 16:50:58+00:00,
https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/fd2ab56464270ec65e378fe61068b336~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=02a776bc&x-expires=1761944400&x-signature=I4CwjMA3qD%2Ft52UEMh6fyjf6CXM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,nolimitrib,I think I went to the wrong side of TikTok …#zyxcba #wthelly #fyupage #fart #commentsection #comments,30900,15400,1300000,2310,28,"Ocarina Of Time Theme (From ""The Legend Of Zelda"")",Gaming World,False,2025-07-02 00:20:54+00:00,
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/89f8a94e7deefc68090d6f939d9a997d~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=0a67d1d0&x-expires=1761944400&x-signature=tt%2BdrNMptMqgHoeGRDRK1%2FgHuqA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,purpszula_cake,TikTok needs to start paying more attention to comments with photos#relatable#foryoupage#fourteen#tiktok#comments,514300,10400,2800000,12400,12,All Angels Break Down (feat. Aiobahn +81),NEEDY GIRL OVERDOSE,False,2025-09-06 03:01:24+00:00,
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7350550665904521259~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=71705aff&x-expires=1761944400&x-signature=TkLRiyyi97w0C4xI98zYMIWl8hQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,etatangana,why does my analytics say watch time 0 but it has a bunch of views #tiktok #glitch,37,3,1644,22,28,original sound,Etienne | Neuroscience🧠,True,2025-08-24 19:04:56+00:00,
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7310435172103487531~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=0cc37c04&x-expires=1761944400&x-signature=zNXUkEvdUMWOIlJQTzIzh7PE%2FYc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,minecraft,"CHALLENGE 2 COMPLETE... Now you can earn your own Copper Cape!

You have three ways to earn your Copper Cape between 8am PDT Oct 13 and 10am PDT Oct 20, 2025 (terms apply): 

- Place a copper golem statue in Minecraft (Bedrock Edition only) 

- Join the Minecraft WatchTime Quests on TikTok or Twitch to get a code 

- Get a code in-person at TwitchCon

#minecraft#Minecraftmemes",235800,9275,6000000,2522,16,original sound - Minecraft,Minecraft,True,2025-10-13 15:10:50+00:00,
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7326234825948397574~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=1416ab46&x-expires=1761944400&x-signature=XOOgfZX7%2BKgB5fYbJ11odOi6Kwo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,mspoohb1908,#watchtime #qualityengagement #fyp #engagement #points,510,153,1971,374,59,original sound,Suzette,True,2025-10-10 14:24:46+00:00,
https://p16-pu-sign-no.tiktokcdn-eu.com/tos-no1a-avt-0068c001-no/502017a8544ca07d9843e1cf394f7f79~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=2f4c065a&x-expires=1761944400&x-signature=FIE%2B0LOGkQQxyMfAuKnzJmbBLY0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,lana.k.social,Literally EVERYTHING you need to know about watch time #watchtime #tiktokgrowth #tiktokviews,889,167,16200,144,163,original sound,Lana | TikTok Coach,True,2025-02-27 10:06:50+00:00,
https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/818764d479433a7ae6fb2def289ce929~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=d5bedd46&x-expires=1761944400&x-signature=Gl8zuq9eEV0l2X%2FNWyJxsZZKYtk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,tawleconsultancy,"Improve your watch time with these 3 things

#watchtime #retention #targetaudience #tiktoktips #growyouraccount",44,8,3015,8,59,original sound,Zina | Business Systems,True,2024-12-10 17:27:36+00:00,
https://p16-pu-sign-no.tiktokcdn-eu.com/tos-no1a-avt-0068c001-no/502017a8544ca07d9843e1cf394f7f79~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=2f4c065a&x-expires=1761944400&x-signature=FIE%2B0LOGkQQxyMfAuKnzJmbBLY0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,lana.k.social,Everything you need to know about watch time on your TikTok videos #watchtime #retention,205,24,5104,24,87,original sound,Lana | TikTok Coach,True,2025-01-09 12:24:16+00:00,
https://p16-pu-sign-no.tiktokcdn-eu.com/tos-no1a-avt-0068c001-no/0b5de560438a5c1febeb46d8661e2f3f~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=8baffa08&x-expires=1761944400&x-signature=4tpntSGfNKvq1t5ZMn0dqFl9kbE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,lingstroem.mp4,Fix bad watch times,59,0,1127,7,36,original sound,Lingstroem.mp4,True,2024-12-16 18:52:17+00:00,
https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8d3df280883b0231f5b97fcd4ebafae0~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=c87aae74&x-expires=1761944400&x-signature=ZNichCw9%2FZ2h2RhO14QnBsrw3Q0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,zavianazlan,"How to complete youtube watchtime? 
#watchtime #youtubegrowth #youtubewatchtime #foryoupage #foryou",144,5,4750,38,16,NUNCA MUDA?,Scythermane & NXGHT! & MC Fabinho da Osk,False,2025-08-18 18:09:16+00:00,
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0e771ecb71c1808ab668166a6c110e75~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=5e7d41f2&x-expires=1761944400&x-signature=K3FeZi9napdxsMpVWCgXXxxPhKQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,vynelek,TikTok analytics did not have to call me out like that #microinfluencer #watchtime #fyp,451,5,2951,18,6,original sound,londyn,True,2025-09-02 15:22:13+00:00,
https://p16-pu-sign-no.tiktokcdn-eu.com/tos-no1a-avt-0068c001-no/502017a8544ca07d9843e1cf394f7f79~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=2f4c065a&x-expires=1761944400&x-signature=FIE%2B0LOGkQQxyMfAuKnzJmbBLY0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,lana.k.social,Save this so you remember these averages #tiktoktips #watchtime #tiktokgrowth,1136,180,20900,117,76,original sound,Lana | TikTok Coach,True,2025-04-09 09:54:16+00:00,
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1a999fb6ce43e569f9395a5e46218f19~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=40f7c323&x-expires=1761944400&x-signature=z4KGVP3BAzUE1y1FUT5inYJG4Ow%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,ykdirty,"📌 Best Way To Get 100% Watch Time On Your Content!!! 
#ykdirty #dirtgang #watchtime #content #viral #iwanttogoviral #contentcreator",82,5,645,8,65,original sound,YKDIRTY | 🌟DIRT GANG✔️,True,2025-07-08 22:47:56+00:00,
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/dbf5a3f91affecd04f9a2da2f29ab3df~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=0871d015&x-expires=1761944400&x-signature=FmbvmLrQ1SCm16mdMvBhB6aSUZc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a,betweenusgirlies,TEA! @bran_flakezz #tiktok #transparency #influencer #betweenusgirlies,117900,10500,926100,2370,98,original sound,Between Us Girlies,True,2025-04-14 16:22:42+00:00,
https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/3bbb4326159b21e077b87abed9ecef3b~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=d5bd2f66&x-expires=1761944400&x-signature=ORj4z%2BTg6mlVDdaRLRDgTywM6wA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,nomiresmislikes1818,vallan a mis likes rápido,46300,1989,6600000,2650,19,sonido original,+18,True,2025-03-16 23:41:02+00:00,
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/d8b707e8ab71dc4c0adcf27e4c841ade~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=bef33bbb&x-expires=1761944400&x-signature=6w5xg4ZmSGNterZZz%2Ffex7PL3fI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,bellapoarch,#duet with @bellapoarch I just realized this is the most liked tiktok video😭💕 Thank you and I love you guys🥺💕,25000000,121400,368700000,240300,10,M to the B,Millie B,False,2020-09-11 23:30:31+00:00,
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/a808db4a0d586a011dbd658d187ad525~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=ac09c831&x-expires=1761944400&x-signature=i2srdEhkLN%2BSTGwJCVnRFN68K1A%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,the._.611,#like #fyppppppppppppppppppppppp #dirtbikes,63800,115,709500,296,8,original sound,️,True,2021-11-13 07:09:50+00:00,
https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/b38a18bccc1133a29a30d357edfee6ba~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=0863693b&x-expires=1761944400&x-signature=%2FOpjCBjnFUb2SQVNlivZ1X%2BenL4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,thewaveyayo,Reply to @vhkentuchiha don’t let this flop 🥺,11800000,33200,101400000,88900,15,Jocelyn Flores,XXXTENTACION,False,2021-09-15 20:03:31+00:00,
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/88e9d0c2bc00d008adc6f849ea3dfad3~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=a5c73a5d&x-expires=1761944400&x-signature=5hnfOmBWIZQNpxDKtiy5DOwNnr4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,ethereal.in.e,Most Liked Comment YOU’VE Seen? 🤷‍♂️ ……………………………………………………………………………………………………………………………………………………………………………… #comment #like #likes #comments #youtube,81,0,2522,28,8,fantasmas,HUMBE,False,2025-10-29 17:49:50+00:00,
https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/81dd03ab48e571529193c93e79d59201~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=39ada822&x-expires=1761944400&x-signature=TzrDscuTz7FiOPQHcnIRsH7snBo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,brookemonk_,,6900000,7116,74700000,9385,12,What You Won't Do for Love,Bobby Caldwell,False,2024-02-24 21:32:23+00:00,
https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/89085e018b86e85e4d5e4055218d1772~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=4e4f4a17&x-expires=1761944400&x-signature=sXhXu0Kw2e3iI7LOBD7JovNFNeo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,awheckitsemilyzeck,Reposting my most-liked vid on tiktok...10.7 million likes 😵😂 insane. Just for cutting bangs. Luv every single one of u. #fyp #repost #GrowUpWithMe,1600000,6659,10900000,3843,20,original sound,Emily Zeck,True,2020-11-17 13:59:09+00:00,
https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/42c8bed77d9edb01881a10ab3b4a98fa~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=87f36178&x-expires=1761944400&x-signature=cqw1Bn6WZjuiCe1kaLT4veRxm94%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,justmaiko,5 years ago this was the most liked tiktok in the world… FULL CIRCLE MOMENT w the one & only @Shakira 😳🔥,1400000,9507,19000000,3685,19,Hips Don't Lie,Miguel González,True,2025-07-01 18:47:31+00:00,
https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/13aca0e2bf37ec30f9aa3b37a0a8fe1c~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=a96e92f4&x-expires=1761944400&x-signature=0SKlHHALYo3DQJBL2qAysDsGYe0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,netflixthings17,First vid. 10 likes?🍿,1700000,13300,8100000,16200,21,lights down low by nxl.ae on soundcloud,AESTTOM,True,2021-01-19 21:34:04+00:00,
https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/dc8c7238f2a7ff1a4b69f441fd9cd365~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=ea2c9351&x-expires=1761944400&x-signature=SriifuMZG%2B6dWRSwjC81%2Be6G%2BL8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,katiimichelle,It really do be like that :// #instagram #relatable #relationship #yikes #fyp,87700,2040,905600,360,11,original sound,nonchalant_zay,True,2020-12-13 21:40:38+00:00,
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c1d42ce758af52eae64f30f7d3f0e2df~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=7fdd9632&x-expires=1761944400&x-signature=BMM8yM0sw5RaxOP9f3Nxf1rA0%2Bk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,vilmeijuga,yang buat ini muka bule baru fyp ya?🤓,2200000,5120,35900000,9706,14,Praise Jah In The Moonlight,YG Marley,False,2024-04-10 05:19:42+00:00,
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/fd5fffd325e903308251883d41d4ffb2~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=5b219a6b&x-expires=1761944400&x-signature=BM%2Bakl29nLIwaQyGIzMH7Q4I9xc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,emscrectaccount,,1600000,64300,10700000,2304,5,Break It Off,PinkPantheress,False,2024-10-06 23:53:35+00:00,
